title,areacode,addr1,cat2,mapx,mapy,firstimage
남성리해수욕장,38,전라남도 고흥군 포두면 남성리 203-1,A0101,127.4075163,34.52034524,http://tong.visitkorea.or.kr/cms/resource/65/2788465_image2_1.jpg
남성재,35,경상북도 포항시 남구 대송면 남성안길 18-16,A0201,129.3529487,35.97357247,
남송미술관,31,경기도 가평군 북면 백둔로 322,A0206,127.4722274,37.90449891,http://tong.visitkorea.or.kr/cms/resource/83/1591283_image2_1.jpg
남악사,38,전라남도 구례군 화엄사로 539,A0201,127.4972509,35.25545866,
남악서원,36,경상남도 진주시 금곡면 죽곡길 102,A0201,128.1779264,35.07631579,http://tong.visitkorea.or.kr/cms/resource/22/3040222_image2_1.jpg
남악수변공원,38,전라남도 무안군 삼향읍 남악로162번길 34,A0202,126.4619147,34.80103405,
남애1리해수욕장,32,강원특별자치도 양양군 현남면 남애리,A0101,128.7786271,37.94005568,http://tong.visitkorea.or.kr/cms/resource/96/2915996_image2_1.JPG
남애3리해수욕장,32,강원특별자치도 양양군 현남면 매바위길 167,A0101,128.7845708,37.94570792,http://tong.visitkorea.or.kr/cms/resource/09/1584009_image2_1.jpg
남애스쿠버리조트,32,강원특별자치도 양양군 현남면 매바위길 77,A0303,128.7874401,37.94156123,http://tong.visitkorea.or.kr/cms/resource/18/3038518_image2_1.jpg
남애어촌체험마을,32,강원특별자치도 양양군 현남면 매바위길 127,A0203,128.7861179,37.9445803,http://tong.visitkorea.or.kr/cms/resource/65/3071565_image2_1.jpg
남애항 스카이워크 전망대,32,강원특별자치도 양양군 현남면 매바위길 138,A0205,128.7868845,37.94511914,http://tong.visitkorea.or.kr/cms/resource/50/2922150_image2_1.jpg
남양성모성지,31,경기도 화성시 남양읍 남양성지로 112,A0201,126.8167597,37.20496276,http://tong.visitkorea.or.kr/cms/resource/07/2480807_image2_1.jpg
남양여관,34,충청남도 서산시 번화3길 8-1,A0206,126.4524737,36.78174976,
